well,cell_count,image_file,annotated
E3,531,E3_01_FL3_merge.jpg,E3_01_FL3_merge_annotated.jpg
E4,636,E4_01_FL3_merge.jpg,E4_01_FL3_merge_annotated.jpg
E5,565,E5_01_FL3_merge.jpg,E5_01_FL3_merge_annotated.jpg
E6,585,E6_01_FL3_merge.jpg,E6_01_FL3_merge_annotated.jpg
E7,579,E7_01_FL3_merge.jpg,E7_01_FL3_merge_annotated.jpg
E8,532,E8_01_FL3_merge.jpg,E8_01_FL3_merge_annotated.jpg
E9,568,E9_01_FL3_merge.jpg,E9_01_FL3_merge_annotated.jpg
F10,591,F10_01_FL3_merge.jpg,F10_01_FL3_merge_annotated.jpg
F11,451,F11_01_FL3_merge.jpg,F11_01_FL3_merge_annotated.jpg
F12,482,F12_01_FL3_merge.jpg,F12_01_FL3_merge_annotated.jpg
F13,513,F13_01_FL3_merge.jpg,F13_01_FL3_merge_annotated.jpg
F14,581,F14_01_FL3_merge.jpg,F14_01_FL3_merge_annotated.jpg
F15,581,F15_01_FL3_merge.jpg,F15_01_FL3_merge_annotated.jpg
F16,488,F16_01_FL3_merge.jpg,F16_01_FL3_merge_annotated.jpg
F18,583,F18_01_FL3_merge.jpg,F18_01_FL3_merge_annotated.jpg
F19,635,F19_01_FL3_merge.jpg,F19_01_FL3_merge_annotated.jpg
F20,540,F20_01_FL3_merge.jpg,F20_01_FL3_merge_annotated.jpg
F21,621,F21_01_FL3_merge.jpg,F21_01_FL3_merge_annotated.jpg
F22,672,F22_01_FL3_merge.jpg,F22_01_FL3_merge_annotated.jpg
F2,539,F2_01_FL3_merge.jpg,F2_01_FL3_merge_annotated.jpg
F3,457,F3_01_FL3_merge.jpg,F3_01_FL3_merge_annotated.jpg
F4,417,F4_01_FL3_merge.jpg,F4_01_FL3_merge_annotated.jpg
F5,505,F5_01_FL3_merge.jpg,F5_01_FL3_merge_annotated.jpg
F6,453,F6_01_FL3_merge.jpg,F6_01_FL3_merge_annotated.jpg
F7,527,F7_01_FL3_merge.jpg,F7_01_FL3_merge_annotated.jpg
F8,441,F8_01_FL3_merge.jpg,F8_01_FL3_merge_annotated.jpg
F9,492,F9_01_FL3_merge.jpg,F9_01_FL3_merge_annotated.jpg
G10,543,G10_01_FL3_merge.jpg,G10_01_FL3_merge_annotated.jpg
G11,494,G11_01_FL3_merge.jpg,G11_01_FL3_merge_annotated.jpg
G12,474,G12_01_FL3_merge.jpg,G12_01_FL3_merge_annotated.jpg
G13,563,G13_01_FL3_merge.jpg,G13_01_FL3_merge_annotated.jpg
G14,552,G14_01_FL3_merge.jpg,G14_01_FL3_merge_annotated.jpg
G15,685,G15_01_FL3_merge.jpg,G15_01_FL3_merge_annotated.jpg
G16,478,G16_01_FL3_merge.jpg,G16_01_FL3_merge_annotated.jpg
G17,621,G17_01_FL3_merge.jpg,G17_01_FL3_merge_annotated.jpg
G18,670,G18_01_FL3_merge.jpg,G18_01_FL3_merge_annotated.jpg
G19,631,G19_01_FL3_merge.jpg,G19_01_FL3_merge_annotated.jpg
G20,593,G20_01_FL3_merge.jpg,G20_01_FL3_merge_annotated.jpg
G21,575,G21_01_FL3_merge.jpg,G21_01_FL3_merge_annotated.jpg
G22,676,G22_01_FL3_merge.jpg,G22_01_FL3_merge_annotated.jpg
G2,488,G2_01_FL3_merge.jpg,G2_01_FL3_merge_annotated.jpg
G3,552,G3_01_FL3_merge.jpg,G3_01_FL3_merge_annotated.jpg
G4,413,G4_01_FL3_merge.jpg,G4_01_FL3_merge_annotated.jpg
G5,457,G5_01_FL3_merge.jpg,G5_01_FL3_merge_annotated.jpg
G6,557,G6_01_FL3_merge.jpg,G6_01_FL3_merge_annotated.jpg
G7,489,G7_01_FL3_merge.jpg,G7_01_FL3_merge_annotated.jpg
G8,557,G8_01_FL3_merge.jpg,G8_01_FL3_merge_annotated.jpg
